Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Cecil County,2010,Total Non-Hispanic Black,437,449,575,536,371,345,398,401,461,469,410,277,222,134,108,75,41,35,5744
Carroll County,2040,Total Female,4452,5050,5043,4682,3897,3538,4558,5519,5645,5580,5166,4680,3905,5097,6111,6733,5536,6765,91957
Wicomico County,2040,Non-Hisp White Female,1541,1674,1706,1771,2548,1792,2000,2554,2469,2275,2041,1761,1834,1667,1857,1855,1584,1894,34823
Talbot County,2010,Non-Hisp White Male,645,759,781,785,577,573,542,684,838,1037,1037,1060,1130,1149,922,662,479,372,14032
St. Mary's County,2040,Non-Hisp Other Male,536,547,608,482,310,311,527,438,350,282,253,232,235,134,119,77,29,51,5521
Prince George's County,2035,Non-Hisp Other Female,2299,1910,1832,1709,2202,2992,2603,2624,2730,2662,2489,2579,2246,1715,1357,1237,770,583,36539
Charles County,2025,Total Male,5896,5918,6138,6080,5013,5213,5415,5094,4715,4437,5155,5996,6037,4657,3146,2171,1268,716,83065
Carroll County,2030,Total Non-Hispanic White,7212,8117,7773,6979,6429,6743,8031,9017,8695,7959,6845,8395,11067,12623,10536,8326,6553,6306,147606
Baltimore City,2035,Total Non-Hispanic White,9853,6944,6673,4951,11444,18170,19691,15285,17250,16506,12024,8541,6400,5620,5203,4567,3211,2574,174907
Charles County,2015,Non-Hisp White Female,1623,1556,1742,1864,1974,1860,1885,1680,1958,2672,3230,2943,2490,2076,1624,974,658,683,33492
Prince George's County,2040,Total,57513,54500,54418,55719,60320,64774,58372,57082,57982,67012,64018,57234,52746,47006,41543,37563,27588,37885,953275
Cecil County,2010,Hispanic Female,212,173,143,155,105,123,117,116,94,81,60,41,31,18,12,9,5,10,1505
Montgomery County,2030,Non-Hisp White Male,9334,9906,10086,8464,5885,7401,9307,13089,14261,13127,10697,10740,11817,12549,11666,9847,7166,5414,180756
Washington County,2015,Non-Hisp White Male,2982,3443,3712,3326,2693,3149,3296,3367,3683,4344,4867,4556,3945,3286,2376,1683,1166,1014,56888
Wicomico County,2030,Total,7527,6911,6549,6445,9951,8327,7251,7734,7260,6389,6272,5638,5760,6220,5650,4309,2872,2610,113675
Baltimore City,2015,Total Non-Hispanic Black,23919,26490,24919,24157,27305,27297,25385,22554,20971,23298,27431,26876,21645,16194,10836,7743,5355,5337,367712
Frederick County,2010,Total Non-Hispanic White,9612,11235,12481,11691,8950,9807,9559,11638,14575,17003,15559,13123,10881,7378,4987,3888,3140,2969,178476
Garrett County,2025,Non-Hisp Other Female,33,27,45,34,26,21,23,13,12,10,3,14,10,10,6,9,7,2,305
Calvert County,2035,Total,5334,6147,6597,5670,4009,4448,6042,7120,7272,6760,5864,4823,4757,6091,6673,5056,3281,3011,98955
Allegany County,2010,Hispanic Male,29,40,30,28,48,24,16,20,15,14,14,9,15,5,6,5,3,3,324
Kent County,2045,Non-Hisp White Male,284,364,343,314,289,311,307,367,419,418,610,732,690,708,609,644,568,425,8402
Caroline County,2045,Total,3266,3362,3529,3081,2344,2157,2381,2987,3056,2392,2368,2793,2447,2185,1934,1738,1371,1195,44586
Frederick County,2045,Non-Hisp Other Female,1567,1685,1649,1460,1235,1160,1150,1762,1683,1667,1426,1029,920,921,923,720,560,290,21807
Frederick County,2030,Non-Hisp Black Male,1237,1135,1159,1106,860,1102,1106,1281,1054,1079,1046,1044,960,899,441,290,170,67,16036
Carroll County,2045,Total Non-Hispanic Black,480,436,437,375,334,281,323,393,767,883,924,909,691,512,670,529,330,225,9499
Cecil County,2025,Non-Hisp Other Male,246,169,155,274,262,244,158,135,113,89,109,109,108,83,33,12,6,4,2309
Washington County,2045,Non-Hisp White Female,4111,3910,4042,4074,3951,3733,3188,4111,4052,3749,3532,3931,3981,3505,3543,3791,3168,3637,68009
Wicomico County,2020,Non-Hisp Other Female,174,194,400,395,355,234,218,186,204,203,171,165,136,124,89,39,20,11,3318
Garrett County,2035,Total Hispanic,62,42,41,51,84,24,26,21,32,28,30,38,42,13,7,8,8,10,567
Cecil County,2045,Non-Hisp Other Female,348,394,415,425,347,270,214,359,373,366,225,178,165,46,49,36,14,7,4231
Wicomico County,2025,Total,6649,6132,5993,7085,9573,7510,6879,7049,6244,6257,5596,5932,6505,6264,5081,3797,2256,2148,106950
Kent County,2040,Total Female,418,460,461,425,417,408,461,418,321,433,657,641,712,860,1012,891,882,972,10849
Wicomico County,2025,Non-Hisp Other Female,233,195,214,440,441,345,248,238,205,223,202,181,155,139,109,66,37,12,3683
Dorchester Co,2010,Total Non-Hispanic Black,712,578,593,723,584,455,456,527,573,647,673,651,464,315,250,225,152,137,8715
Washington County,2020,Non-Hisp Other Male,308,279,625,541,295,223,169,187,154,197,164,193,153,81,54,29,14,1,3667
Garrett County,2035,Non-Hisp White Female,691,764,766,730,664,685,817,979,871,865,986,876,1030,1018,1020,878,610,575,14825
Howard County,2025,Total Female,10613,10948,11657,10137,8810,11449,12690,12276,12592,11330,11150,11606,12016,10425,8445,6843,4399,3437,180823
Anne Arundel County,2010,Non-Hisp Black Female,2824,2915,2988,2926,2536,2971,3065,3197,3449,3534,2951,2383,1828,1206,872,638,416,406,41105
Allegany County,2020,Total Female,1712,1866,1763,1919,2130,1793,2491,2063,2077,1781,1937,2279,2327,2118,1712,1349,817,705,32839
Harford County,2020,Non-Hisp Black Female,1235,1232,1398,1411,1195,1298,1293,1229,1284,1368,1417,1344,1149,758,558,271,154,149,18743
Howard County,2020,Total Female,9931,10463,10956,10592,9018,11301,10972,11942,11348,11329,12160,12840,10944,9062,7279,5073,3062,2829,171101
Talbot County,2020,Non-Hisp White Male,602,632,724,730,504,485,652,658,599,755,841,1059,1129,1229,1223,1024,609,500,13955
Baltimore City,2035,Total Hispanic,1839,1718,1954,2342,2768,2168,1581,909,1559,3070,3777,3033,1993,1083,725,302,62,12,30895
Anne Arundel County,2025,Non-Hisp Other Male,1769,1568,1625,2325,1899,1777,1646,1514,1471,1393,1280,1072,1041,821,577,363,256,86,22483
Carroll County,2045,Total Male,4749,5400,5406,5298,4698,4097,4094,4756,5042,5150,5206,5010,4332,3279,3670,4462,4499,6573,85721
Queen Anne's County,2045,Hispanic Female,175,160,148,126,109,101,107,106,79,81,50,67,39,23,19,16,11,0,1417
Carroll County,2030,Non-Hisp Other Male,477,455,382,334,251,256,246,228,226,161,140,214,236,257,154,50,15,9,4091
Charles County,2015,Total Female,4639,4968,5606,5878,4960,4697,4822,5038,5995,7097,7127,5611,4432,3493,2466,1619,973,975,80396
Charles County,2040,Hispanic Female,801,776,740,701,671,693,696,680,549,569,532,390,246,210,158,92,64,41,8609
Anne Arundel County,2015,Non-Hisp Black Male,3362,3326,3371,3000,2561,2652,3268,2829,2785,2811,2944,2571,1886,1279,751,516,321,230,40463
Baltimore City,2010,Non-Hisp Black Female,13823,12813,13226,15053,16068,15310,13114,11772,13486,15989,16379,13782,10930,7938,6364,5190,3775,3371,208383
Baltimore County,2020,Total Male,24572,25721,26862,24379,23898,27214,26924,25383,23830,23008,24442,26668,26281,21259,16305,9988,6128,7198,390060
Harford County,2020,Non-Hisp White Male,5139,4938,5181,5363,5129,5674,6036,6056,5063,5416,6462,7721,7286,5745,4799,2946,1791,1607,92352
Frederick County,2045,Total,21110,21646,22651,21257,18521,17875,17741,20778,25011,24042,21481,17512,15828,13996,13690,14164,13665,15874,336842
Wicomico County,2045,Total Non-Hispanic White,3001,3250,3461,3937,5484,3681,2878,4266,4654,4680,4429,3888,3281,3448,2977,2824,2554,3470,66163
Calvert County,2010,Non-Hisp Black Female,313,367,482,460,377,281,328,388,560,565,516,419,318,219,180,132,97,95,6097
Dorchester Co,2020,Non-Hisp White Male,443,488,538,517,461,473,593,687,544,568,737,883,918,800,678,465,249,202,10244
Calvert County,2040,Hispanic Female,218,238,215,215,166,179,246,203,173,170,120,149,75,62,81,66,25,16,2617
Queen Anne's County,2040,Total Female,1731,1907,1948,1609,1162,1185,1639,1964,2032,2026,2047,1798,1511,1757,1986,1990,1408,1467,31167
Carroll County,2020,Hispanic Male,293,305,288,260,253,303,298,274,202,191,188,155,112,38,24,20,6,21,3231
Harford County,2035,Non-Hisp Other Female,1066,966,940,818,686,971,991,966,799,672,724,594,590,480,437,356,210,75,12341
Montgomery County,2045,Total Female,36419,36066,37083,35196,33448,38008,40121,38568,41419,39026,38818,41186,37864,33162,30483,27397,23230,25736,633230
Dorchester Co,2025,Total,1946,2017,2109,2208,1832,1671,1914,2204,2339,2058,2153,2394,2779,2638,2063,1405,933,816,35479
Harford County,2030,Total Non-Hispanic White,10277,10228,9746,8739,8315,10013,12165,12838,12173,11524,9845,10498,12465,14185,12675,9148,7027,7474,189335
Talbot County,2025,Non-Hisp Other Female,43,34,25,68,58,61,51,25,43,33,25,30,25,7,6,4,7,9,554
Garrett County,2015,Non-Hisp Other Male,10,21,34,16,28,23,8,7,9,4,10,7,9,7,3,2,5,2,205
Prince George's County,2025,Non-Hisp Other Male,2066,1602,1568,2162,2983,2830,2417,2019,1796,1847,1792,1700,1550,1261,988,570,236,148,29535
Kent County,2045,Total Hispanic,63,58,64,69,74,70,62,103,78,43,27,31,35,18,4,3,2,0,804
Washington County,2030,Non-Hisp White Male,3652,3731,3601,3243,3490,3784,3233,3020,3415,3595,3576,3711,4078,4192,3533,2721,1827,1554,59956
State of Maryland,2030,Non-Hisp Black Male,66585,65876,67409,64933,57725,57737,58180,67133,63545,57690,51175,49929,50366,47115,36030,22841,13835,10093,908197
Baltimore County,2045,Total Non-Hispanic Black,22195,22825,23553,22335,21682,22198,22052,22393,21048,21479,22744,20166,17393,15505,13888,12007,8898,9906,342267
Cecil County,2020,Total,5450,5650,7063,6717,5763,6381,6501,5914,5979,6641,7965,8488,7816,5962,4481,2876,1635,1570,102852
Garrett County,2025,Total Female,824,842,800,792,833,843,798,842,913,853,1047,1094,1220,1127,921,761,511,430,15451
Wicomico County,2015,Total Non-Hispanic Black,2067,1916,2035,1798,2053,1683,1587,1453,1355,1434,1660,1632,1305,949,568,406,249,231,24381
Washington County,2030,Total,11574,11222,10430,9390,10501,10792,9501,9215,9454,9745,9384,9898,10749,10704,8559,6591,4384,3883,165976
Allegany County,2035,Non-Hisp White Female,1287,1495,1555,1581,1380,1385,1788,1811,2215,1709,1978,1626,2016,2131,2235,2018,1385,1197,30792
Caroline County,2010,Total Non-Hispanic Black,321,356,327,332,286,238,236,230,296,357,376,295,232,174,146,103,65,65,4435
Dorchester Co,2045,Hispanic Male,182,175,141,117,93,67,56,44,35,39,46,58,60,43,32,22,12,19,1241
Talbot County,2045,Total Non-Hispanic White,1210,1437,1487,1351,1089,1127,1196,1432,1724,1675,1668,2026,2060,2067,2307,2286,2168,2558,30868
Talbot County,2045,Non-Hisp Black Female,156,154,177,173,168,161,159,159,170,167,205,195,160,156,146,160,172,191,3029
Harford County,2045,Hispanic Male,871,903,851,746,755,736,795,809,725,652,565,408,414,317,303,213,122,57,10242
Caroline County,2045,Non-Hisp Black Female,256,232,337,287,254,211,191,212,267,173,246,231,244,228,182,169,167,156,4043
Montgomery County,2025,Total Non-Hispanic White,20461,20197,20741,15533,11443,17724,25202,30036,26886,22518,23272,27341,30272,28617,25541,21174,13580,13064,393602
Cecil County,2025,Total Female,3195,2913,2786,3496,3398,3427,3233,3210,2957,3072,3634,4206,4395,3727,2829,2196,1326,1144,55144
Washington County,2015,Hispanic Female,350,402,361,275,250,225,221,240,206,200,148,106,64,50,31,26,16,7,3178
Baltimore City,2045,Total Non-Hispanic White,9792,5915,5985,4972,13446,24314,19748,13746,14526,12066,14361,13744,9477,6105,4194,3376,2535,2495,180797
Cecil County,2025,Non-Hisp Black Male,380,343,375,345,300,427,396,307,261,250,266,325,308,172,78,32,20,15,4600
Calvert County,2035,Non-Hisp White Female,1865,2310,2438,2043,1436,1483,2263,2728,2660,2473,2234,1759,1848,2434,2832,2255,1489,1640,38190
Charles County,2040,Total Non-Hispanic Black,8327,8998,9963,9952,6721,6644,7211,8313,9395,9416,7654,6537,6266,7382,7156,5803,2468,1749,129955
Kent County,2015,Total Non-Hispanic Black,149,137,136,123,155,155,136,137,157,182,261,238,175,181,169,84,75,81,2731
Somerset County,2020,Total Female,611,485,589,995,753,770,483,565,587,614,698,797,850,737,596,403,231,241,11005
Talbot County,2015,Total Female,798,972,1059,857,784,878,925,885,1054,1229,1501,1559,1579,1674,1383,945,669,763,19514
Calvert County,2030,Total Non-Hispanic Black,652,674,738,626,621,532,765,883,972,777,835,859,1110,1081,880,664,373,245,13287
Calvert County,2025,Total Hispanic,365,377,444,496,360,283,271,245,256,238,215,240,162,94,80,72,27,47,4272
Cecil County,2010,Total Non-Hispanic White,5122,5682,6075,6146,5033,4814,4944,5580,6800,7502,7200,6242,5395,3806,2519,1951,1310,1081,87202
St. Mary's County,2020,Non-Hisp Black Male,625,659,700,681,478,550,553,535,430,514,589,668,478,282,197,138,61,47,8185
Washington County,2030,Non-Hisp White Female,3689,3530,3336,2913,3489,3665,3320,3485,3769,3888,3521,4022,4596,4830,4131,3469,2378,2273,64304
Wicomico County,2015,Total Female,2701,3177,3171,3338,4543,3508,2959,3167,2883,3118,3635,3570,3203,2702,1965,1293,988,1170,51091
Calvert County,2030,Non-Hisp Black Female,326,341,394,321,316,304,438,523,554,385,434,471,609,571,495,387,211,151,7231
Kent County,2040,Total Non-Hispanic Black,103,92,94,90,94,94,102,108,158,217,289,238,237,247,244,216,150,246,3019
Garrett County,2020,Non-Hisp Other Male,10,13,36,34,25,35,19,10,5,14,4,8,9,8,4,2,3,5,244
Washington County,2045,Total Hispanic,1199,1217,1222,1161,1145,1039,1105,1160,983,816,681,591,610,570,450,260,178,21,14408
Wicomico County,2045,Non-Hisp Black Female,1605,1637,1609,1575,1736,1590,1605,1625,1469,1280,1402,1302,1173,919,666,628,458,437,22716
Queen Anne's County,2020,Non-Hisp Black Female,77,76,102,100,70,80,91,97,138,100,128,157,166,121,90,81,51,60,1785
Dorchester Co,2030,Hispanic Female,171,143,136,141,165,131,91,84,47,52,41,24,15,16,16,16,12,3,1304
Caroline County,2020,Total Hispanic,325,282,288,253,235,216,232,181,158,128,94,75,33,24,13,4,3,4,2548
Howard County,2035,Total,20729,22794,24728,22993,18840,19583,21958,25111,26597,23647,22999,20266,19348,19164,18991,16131,11717,10191,365787
Anne Arundel County,2035,Total,37257,36932,36330,33700,31749,36876,37550,37775,38740,39703,38763,33524,32270,32736,32033,25042,17028,15029,593037
Montgomery County,2025,Non-Hisp Other Male,7274,6997,7706,7813,6316,6705,6484,6457,6410,6715,7126,6393,6234,5141,3935,2898,1983,3570,106157
Frederick County,2045,Total Non-Hispanic White,10246,10938,11936,11588,10501,10647,10236,12061,16089,15312,13516,11159,9766,8174,8677,10097,10544,13866,205353
Garrett County,2040,Total Hispanic,73,58,45,47,68,40,34,28,28,33,25,40,50,18,12,10,7,10,626
St. Mary's County,2030,Non-Hisp White Female,3156,3000,2928,2650,2481,3080,3237,3602,3591,3236,2781,2775,3028,3017,2497,2013,1345,1118,49535
Talbot County,2020,Total Hispanic,290,314,275,219,161,166,230,301,215,177,130,97,74,32,26,19,9,10,2745
Allegany County,2010,Non-Hisp White Female,1443,1562,1680,1938,2170,1753,1585,1817,1974,2393,2447,2297,2299,1884,1604,1365,1174,1038,32423
Queen Anne's County,2045,Non-Hisp Other Male,120,124,109,72,45,33,36,115,113,90,73,50,33,29,47,46,10,0,1145
State of Maryland,2040,Non-Hisp Black Female,69274,68886,72068,69895,65248,71779,74822,76280,77701,82272,77145,68430,61445,58788,57504,53029,38092,46946,1189604
Caroline County,2015,Non-Hisp Other Male,13,95,78,51,28,23,25,19,17,16,16,22,16,12,6,2,3,1,443
St. Mary's County,2030,Total Non-Hispanic Black,1521,1648,1644,1527,1292,1458,1289,1460,1491,1502,1125,1231,1355,1169,772,412,239,199,21334
Somerset County,2015,Total Female,509,572,608,701,941,487,531,577,554,656,815,808,775,661,495,322,246,230,10488
Worcester County,2010,Total Female,1119,1224,1332,1351,1201,1183,1157,1285,1607,1999,2094,2052,2181,2010,1551,1233,833,708,26120
Wicomico County,2035,Total Female,3835,3841,3523,3462,4481,4578,4262,4389,4174,3728,3361,3279,2865,2937,3132,2705,1964,1973,62489
Somerset County,2025,Hispanic Female,65,55,46,59,42,29,33,52,35,29,25,7,3,2,1,1,1,4,489
Talbot County,2020,Total,1702,1856,2132,2047,1516,1629,1884,2026,1841,2118,2389,2953,3012,3191,2940,2334,1461,1375,38406
Calvert County,2010,Non-Hisp Other Female,207,282,240,187,97,99,101,126,154,171,118,93,84,47,26,20,17,8,2077
Baltimore City,2045,Non-Hisp Black Male,11914,12434,11793,12074,11693,11559,10847,11620,11403,10984,11697,11142,9435,7065,5109,4492,3591,3212,172064
Kent County,2015,Non-Hisp White Female,261,364,348,225,304,366,298,296,362,448,563,713,649,678,561,289,276,348,7349
Frederick County,2010,Total Hispanic,1921,1702,1589,1389,1328,1597,1698,1469,1270,1096,712,407,287,173,111,85,60,47,16941
Cecil County,2025,Total Hispanic,622,538,554,665,580,536,518,430,440,354,310,254,208,153,75,42,16,24,6319
Anne Arundel County,2010,Non-Hisp White Female,10262,10867,11305,10596,10146,11982,11307,12224,14605,17267,16397,14659,13145,9633,6462,5095,4153,3999,194104
Allegany County,2045,Non-Hisp White Male,1382,1505,1533,1610,1787,1624,1853,1879,1965,2026,2497,2029,2054,1629,1463,1388,1042,1001,30267
Queen Anne's County,2010,Total Non-Hispanic White,2155,2700,2866,2787,1832,1736,1797,2521,3420,3922,3620,3007,2788,2349,1514,1161,726,590,41491
Howard County,2045,Non-Hisp White Male,1887,2132,2778,3056,2684,3124,2530,2271,3141,4197,4819,4015,3383,2646,2562,3002,3240,4124,55591
St. Mary's County,2045,Total Hispanic,1039,1032,961,866,793,721,865,804,679,568,562,488,544,288,212,184,92,18,10716
State of Maryland,2045,Hispanic Male,37189,35500,33563,31341,29874,28135,29682,28215,27474,23745,25882,28688,30092,24826,15590,11028,5546,2892,449262
Baltimore City,2020,Non-Hisp White Female,4776,2683,2053,2024,5275,12333,11644,7943,5308,4252,4062,4187,4479,4038,3393,2336,1409,1866,84061
Baltimore City,2020,Non-Hisp Black Female,11780,11498,12908,11759,12002,14419,15017,13881,12017,10884,12100,14336,13976,11362,8205,5350,3621,3991,199106
Queen Anne's County,2045,Total Female,1799,2036,2107,1809,1362,1266,1568,1995,2272,2135,2098,2088,1829,1485,1655,1908,1531,1841,32784
Washington County,2010,Non-Hisp Other Male,414,432,357,250,138,150,129,168,136,143,118,100,76,34,33,21,12,5,2716
Kent County,2010,Total Non-Hispanic Black,189,142,157,191,201,134,134,127,184,235,241,181,164,207,136,98,64,63,2848
Anne Arundel County,2015,Non-Hisp Black Female,3046,3223,3148,2865,2825,3304,3836,3437,3356,3607,3598,3149,2328,1806,1042,749,476,496,46291
St. Mary's County,2045,Total Female,5267,5430,5534,5002,4174,4368,4756,5336,5732,5262,5445,4971,4500,3470,3184,3230,2565,2357,80583
Worcester County,2010,Total Non-Hispanic White,1482,1755,1962,2020,1731,1737,1611,1963,2598,3203,3301,3403,3707,3381,2653,2029,1377,983,40896
Kent County,2030,Non-Hisp Black Male,52,47,50,50,57,48,63,90,133,118,129,97,95,140,97,55,37,35,1393
Carroll County,2030,Total Non-Hispanic Black,466,375,305,223,239,365,540,614,620,488,404,669,637,569,490,260,168,93,7525
Calvert County,2015,Total Non-Hispanic Black,554,669,782,846,760,592,562,619,756,1033,1107,948,768,548,393,274,163,148,11522
Allegany County,2010,Non-Hisp Black Female,48,29,54,134,167,38,41,37,34,46,34,58,39,31,14,20,14,16,854
Somerset County,2030,Non-Hisp Other Male,64,82,48,23,38,27,27,26,35,18,30,30,31,24,9,8,7,9,536
Prince George's County,2040,Total Non-Hispanic White,4218,3546,3760,3901,8939,7612,5715,5222,5746,7398,6694,4836,3965,3478,3794,4573,4079,4465,91941
Worcester County,2025,Non-Hisp Black Male,257,225,224,231,224,197,211,169,164,188,145,158,220,209,206,102,49,59,3238
Washington County,2040,Total Non-Hispanic Black,2391,2243,2191,2051,1704,1573,1466,1605,1609,1586,1341,1245,1351,1118,568,424,240,52,24758
Baltimore City,2025,Non-Hisp Other Female,1010,808,739,993,1293,1308,1249,1744,1808,1438,1105,785,677,637,512,345,205,101,16757
Frederick County,2020,Total,15647,14532,15919,16996,15853,17405,16074,15805,14868,16349,18791,20280,17464,13527,10346,6862,4401,4933,256052
Kent County,2020,Non-Hisp Black Female,73,75,72,63,50,66,83,63,87,75,123,168,139,126,92,84,37,86,1562
Queen Anne's County,2015,Non-Hisp White Female,956,1190,1400,1181,859,934,1057,1025,1414,1809,1948,1857,1474,1403,1116,692,429,424,21168
Harford County,2025,Hispanic Female,641,687,735,737,589,550,509,427,432,415,356,315,266,192,125,98,60,22,7156
Howard County,2030,Total Hispanic,2851,2597,2408,2445,2753,2583,2531,2287,1968,1985,1990,1656,1441,925,588,388,187,73,31656
Dorchester Co,2030,Total Female,1048,1029,1082,1041,1092,1067,893,1142,1138,1231,1160,1206,1356,1326,1359,905,561,650,19286
Prince George's County,2025,Total Non-Hispanic White,5648,4794,4169,3266,7364,7842,9449,8262,5950,5091,4834,5693,7620,8355,7403,5727,3664,3732,108863
Worcester County,2015,Non-Hisp Other Female,115,100,120,95,26,31,43,47,49,49,58,52,42,31,25,10,5,5,903
Baltimore County,2030,Non-Hisp Black Female,9645,9881,10216,9765,10505,10697,11395,12024,10723,9764,9553,9460,9715,9351,7751,5690,3631,3408,163174
Cecil County,2025,Total Non-Hispanic White,4823,4642,4469,5474,5258,4935,5124,5362,4897,5076,5933,7102,7596,6429,4863,3677,2137,1869,89666
Queen Anne's County,2040,Non-Hisp Other Male,121,104,80,45,32,35,100,104,85,69,49,32,30,43,52,36,8,-1,1024
Washington County,2015,Total Non-Hispanic Black,1087,991,1068,1007,828,702,679,834,803,799,808,671,431,275,121,74,43,23,11244
Montgomery County,2040,Non-Hisp White Male,7572,7768,8878,8501,6942,9081,8613,8260,9229,12315,13430,12016,9402,8745,9040,9349,7651,7571,164363
Dorchester Co,2015,Non-Hisp Black Female,286,329,301,286,298,329,291,281,311,313,320,364,383,192,167,115,84,114,4764
Frederick County,2045,Total Male,10872,11178,11733,10992,9355,8787,8682,10211,12547,11773,10618,8590,7706,6705,6222,6217,6125,5991,164304
Allegany County,2030,Total Male,1689,1877,1867,1780,2088,1885,2154,2491,2109,2106,1903,1994,2222,2110,1851,1394,962,760,33242
Queen Anne's County,2035,Hispanic Male,145,126,107,97,90,91,74,55,62,87,99,71,66,49,16,9,4,8,1256
Somerset County,2015,Non-Hisp Other Female,30,51,36,36,30,26,18,15,16,15,24,22,8,12,11,10,3,2,365
Howard County,2010,Non-Hisp Other Female,2239,2482,2135,1702,1297,1838,2164,2394,2406,2134,1580,1127,931,653,491,308,183,128,26192
Carroll County,2030,Hispanic Male,363,354,331,341,329,303,310,347,317,296,207,190,189,79,59,40,9,29,4093
Caroline County,2030,Total Hispanic,546,435,335,316,289,343,245,181,177,132,114,119,43,30,22,15,5,5,3352
St. Mary's County,2025,Non-Hisp White Female,2908,2770,2747,2564,2397,2728,3177,3362,3222,2734,2807,3140,3242,2692,2058,1711,1018,866,46143
Washington County,2030,Hispanic Male,554,559,517,559,555,473,401,340,316,344,305,267,271,178,114,17,13,1,5784
St. Mary's County,2025,Total Non-Hispanic Black,1342,1389,1432,1395,1166,1189,1271,1237,1273,1060,1118,1318,1330,918,535,319,202,167,18661
Howard County,2040,Total Non-Hispanic White,4192,5234,6716,6367,4736,4854,4336,6185,8493,9702,8173,7384,6077,6308,7592,9509,8239,8880,122977
Anne Arundel County,2030,Non-Hisp Black Male,3895,4071,4235,3880,2839,2907,3303,3910,3893,3939,3157,2959,2849,2596,1712,1053,540,384,52122
Talbot County,2030,Hispanic Female,179,170,153,168,128,101,75,72,89,103,101,75,58,42,29,14,2,2,1561
Garrett County,2040,Hispanic Female,41,29,19,24,38,19,10,9,11,18,14,24,33,12,7,5,7,3,323
Howard County,2030,Total Male,11229,12206,13011,12124,9433,10727,11981,12807,11352,11044,9971,9728,9855,9865,7891,6263,4336,3037,176860
Queen Anne's County,2025,Total Non-Hispanic Black,168,159,177,204,180,142,183,179,297,252,184,233,298,361,278,161,90,92,3638
Garrett County,2020,Hispanic Male,15,25,23,18,18,7,11,12,13,13,6,7,0,1,2,1,3,5,180
Howard County,2040,Total Male,10120,11097,12360,12354,10254,10635,10389,11201,12231,12818,11132,10531,9253,8547,7714,7663,5673,5138,179110
Frederick County,2015,Non-Hisp Other Male,686,1012,959,760,409,387,517,615,696,570,480,422,322,216,100,88,58,14,8311
Worcester County,2030,Total Hispanic,211,166,143,165,184,189,143,117,191,176,157,130,112,81,44,33,21,27,2290
Queen Anne's County,2015,Total Non-Hispanic Black,139,179,209,161,170,155,180,152,182,207,240,301,258,188,153,113,67,75,3129
St. Mary's County,2010,Total,7569,7623,7653,7200,6100,6876,6347,6642,8001,8974,7894,6157,5015,3623,2570,1741,1198,1042,102225
Queen Anne's County,2015,Hispanic Female,99,97,72,74,47,63,60,73,58,51,51,29,13,5,7,9,4,0,812
Wicomico County,2020,Total Male,3051,2871,3331,3338,4102,3431,3061,2896,2965,2732,2778,3145,3106,2604,1943,1345,675,731,48105
Somerset County,2015,Non-Hisp Black Male,242,217,238,227,321,155,106,138,136,109,187,209,137,103,73,50,43,13,2704
Howard County,2025,Non-Hisp Other Female,3226,3452,3612,3346,3066,3192,3137,3200,3658,3503,3236,2763,2375,1829,1372,1111,647,490,47215
State of Maryland,2025,Non-Hisp White Male,77645,74707,74766,69653,72492,87670,98713,100764,90919,78672,81618,97647,111758,102037,81017,62998,37724,31289,1432089
Caroline County,2010,Total,2309,2323,2229,2282,1932,1953,1936,1993,2290,2561,2549,2170,1879,1428,992,799,526,473,32624
State of Maryland,2040,Total Male,209143,206511,209224,200522,185821,195773,198824,205895,201927,214738,208557,192668,165696,149469,138563,125339,88091,84659,3181420
Talbot County,2025,Total Non-Hispanic White,1140,1269,1289,1254,1065,1098,1204,1521,1590,1405,1618,1984,2598,2944,2727,2359,1654,1437,30156
Montgomery County,2020,Non-Hisp Other Female,6195,6775,7278,7019,5758,6134,6799,7931,8371,8507,8043,7667,6533,5394,4272,2806,1719,1471,108672
Montgomery County,2045,Hispanic Female,11951,11808,11337,10668,10158,9925,10287,10223,10318,9439,9035,9393,9139,8479,7197,5380,4487,2445,161669
Garrett County,2015,Non-Hisp Black Male,2,5,6,21,27,12,4,5,5,2,3,3,4,0,2,1,1,0,103
Calvert County,2030,Non-Hisp Other Female,205,198,167,151,169,231,208,183,175,156,139,160,194,133,85,63,44,5,2666
Wicomico County,2045,Non-Hisp White Male,1563,1707,1804,1976,2647,1786,1355,2060,2166,2173,2139,1912,1570,1687,1357,1240,1019,1397,31558
Harford County,2030,Total,16527,16404,15771,14599,13879,15519,17878,18379,17077,16213,14234,15028,16671,17795,15394,10568,7945,7945,267826
Cecil County,2040,Total Non-Hispanic White,6644,7045,6412,5802,5202,5632,6954,6357,5209,5403,5970,5523,5623,5691,5838,5429,3983,4303,103020
State of Maryland,2010,Hispanic Female,24466,20118,17613,16083,18662,22317,21962,18710,15925,13554,10355,7341,5156,3409,2460,1815,1231,928,222105
Queen Anne's County,2010,Non-Hisp White Female,1079,1328,1392,1338,884,883,908,1341,1768,1927,1863,1481,1427,1196,754,594,400,356,20919
Anne Arundel County,2025,Non-Hisp White Female,9639,9546,9900,8567,8056,10737,11464,12275,11206,10434,11388,13491,14932,13355,11429,9446,5956,5066,186887
